Name, Release, LOC, #Comments, #Revisions, #Auth, #Fix, LOC touched, LOC added, MAX LOC added, AVG LOC added, churn, MAX churn, AVG churn, Buggy
src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,1.1.0,90,23,1,1,0,10,7,7,7,4,4,4,NO
src/java/org/apache/avro/ipc/RPCContext.java,1.1.0,149,67,1,1,0,149,149,149,149,149,149,149,NO
src/java/org/apache/avro/ipc/RPCPlugin.java,1.1.0,74,55,1,1,0,74,74,74,74,74,74,74,NO
src/java/org/apache/avro/ipc/Requestor.java,1.1.0,231,29,2,1,0,59,54,53,27,49,48,24,NO
src/java/org/apache/avro/ipc/Responder.java,1.1.0,221,31,2,1,0,68,58,40,29,48,36,24,NO
src/java/org/apache/avro/ipc/SocketServer.java,1.1.0,110,18,1,1,0,3,2,2,2,1,1,1,NO
src/java/org/apache/avro/ipc/SocketTransceiver.java,1.1.0,94,18,1,1,0,6,4,4,4,2,2,2,NO
src/java/org/apache/avro/ipc/Transceiver.java,1.1.0,42,18,1,1,0,5,3,3,3,1,1,1,NO
src/java/org/apache/avro/reflect/FixedSize.java,1.1.0,36,22,2,1,1,13,10,6,5,7,4,3,NO
src/java/org/apache/avro/reflect/ReflectData.java,1.1.0,304,45,4,1,1,125,93,40,23,61,27,15,YES
src/java/org/apache/avro/reflect/ReflectDatumReader.java,1.1.0,117,22,3,1,2,22,11,6,3,6,3,2,YES
src/java/org/apache/avro/reflect/ReflectDatumWriter.java,1.1.0,65,21,7,1,3,62,30,16,4,34,14,4,YES
src/java/org/apache/avro/reflect/ReflectRequestor.java,1.1.0,113,21,4,1,0,39,34,18,8,29,16,7,NO
src/java/org/apache/avro/reflect/ReflectResponder.java,1.1.0,128,21,3,1,0,9,7,5,2,5,4,1,YES
src/java/org/apache/avro/specific/ProtocolTask.java,1.1.0,105,22,1,1,0,5,3,3,3,1,1,1,NO
src/java/org/apache/avro/specific/SchemaTask.java,1.1.0,28,18,1,1,0,1,1,1,1,1,1,1,NO
src/java/org/apache/avro/specific/SpecificCompiler.java,1.1.0,287,31,4,1,0,27,23,12,5,19,11,4,YES
src/java/org/apache/avro/specific/SpecificData.java,1.1.0,70,19,2,1,0,83,77,67,38,71,67,35,YES
src/java/org/apache/avro/specific/SpecificDatumReader.java,1.1.0,47,18,2,1,1,4,2,1,1,0,0,0,YES
src/java/org/apache/avro/specific/SpecificDatumWriter.java,1.1.0,35,18,2,1,1,4,2,1,1,0,0,0,NO
src/java/org/apache/avro/specific/SpecificExceptionBase.java,1.1.0,40,18,2,1,0,3,2,1,1,1,1,0,YES
src/java/org/apache/avro/specific/SpecificFixed.java,1.1.0,28,18,1,1,0,1,1,1,1,1,1,1,NO
src/java/org/apache/avro/specific/SpecificRecord.java,1.1.0,27,19,2,1,0,6,3,2,1,2,1,1,NO
src/java/org/apache/avro/specific/SpecificRecordBase.java,1.1.0,71,18,2,1,0,18,13,12,6,8,7,4,YES
src/java/org/apache/avro/specific/SpecificRequestor.java,1.1.0,80,21,5,1,1,47,36,13,7,25,13,5,NO
src/java/org/apache/avro/specific/SpecificResponder.java,1.1.0,40,18,2,1,1,4,2,1,1,0,0,0,YES
src/java/org/apache/avro/util/Utf8.java,1.1.0,87,18,2,1,0,17,12,8,6,7,5,3,NO
