Iteration,%TrainingInstances,Classifier,Feature Selection,Sampling,Cost Sensitive,Precision,Recall,AUC,Kappa,TP,FP,TN,FN,Cost
4,79.6116504854369,NaiveBayes,none,SMOTE,none,NaN,0.0,0.4721350078492936,0.0,0.0,0.0,91.0,14.0,140.0
4,79.6116504854369,RandomForest,none,none,SensitiveThreshold,0.375,0.21428571428571427,0.6149921507064364,0.1946308724832212,3.0,5.0,86.0,11.0,115.0
4,79.6116504854369,IBk,none,none,SensitiveThreshold,0.3333333333333333,0.14285714285714285,0.6373626373626373,0.13043478260869534,2.0,4.0,87.0,12.0,124.0
4,79.6116504854369,NaiveBayes,none,none,SensitiveThreshold,NaN,0.0,0.542778649921507,0.0,0.0,0.0,91.0,14.0,140.0
4,79.6116504854369,RandomForest,BestFirst(backward),SMOTE,none,NaN,0.0,0.7123233908948194,0.0,0.0,0.0,91.0,14.0,140.0
4,79.6116504854369,IBk,BestFirst(backward),SMOTE,none,0.5,0.14285714285714285,0.6373626373626373,0.17322834645669288,2.0,2.0,89.0,12.0,122.0
4,79.6116504854369,NaiveBayes,BestFirst(backward),SMOTE,none,NaN,0.0,0.4721350078492936,0.0,0.0,0.0,91.0,14.0,140.0
4,79.6116504854369,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.2,0.14285714285714285,0.6346153846153846,0.0625000000000003,2.0,8.0,83.0,12.0,128.0
4,79.6116504854369,IBk,BestFirst(backward),none,SensitiveThreshold,0.125,0.07142857142857142,0.5627943485086342,-0.006711409395973367,1.0,7.0,84.0,13.0,137.0
4,79.6116504854369,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.2222222222222222,0.14285714285714285,0.7409733124018838,0.07766990291262099,2.0,7.0,84.0,12.0,127.0
5,81.74603174603175,RandomForest,none,none,none,0.6666666666666666,0.11764705882352941,0.6530612244897959,0.16287534121929034,2.0,1.0,97.0,15.0,151.0
5,81.74603174603175,IBk,none,none,none,0.5,0.17647058823529413,0.6437575030012005,0.19909873002867678,3.0,3.0,95.0,14.0,143.0
5,81.74603174603175,NaiveBayes,none,none,none,NaN,0.0,0.5615246098439376,0.0,0.0,0.0,98.0,17.0,170.0
5,81.74603174603175,RandomForest,BestFirst(backward),none,none,0.4,0.11764705882352941,0.6269507803121248,0.12288135593220323,2.0,3.0,95.0,15.0,153.0
5,81.74603174603175,IBk,BestFirst(backward),none,none,0.42857142857142855,0.17647058823529413,0.7331932773109243,0.17922283901665365,3.0,4.0,94.0,14.0,144.0
