Iteration,%TrainingInstances,Classifier,Feature Selection,Balancing,Cost Sensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost
1,40.32846715328467,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.43283582089552236,0.48333333333333334,0.7445068664169788,0.3262563826928246,0.45669291338582674,29.0,38.0,229.0,31.0,348.0
2,55.583126550868485,RandomForest,none,none,none,0.36764705882352944,0.5319148936170213,0.797427652733119,0.3308988440968429,0.4347826086956522,25.0,43.0,268.0,22.0,263.0
2,55.583126550868485,IBk,none,none,none,0.25333333333333335,0.40425531914893614,0.6216733939932955,0.17894391961994213,0.3114754098360656,19.0,56.0,255.0,28.0,336.0
2,55.583126550868485,NaiveBayes,none,none,none,0.30303030303030304,0.2127659574468085,0.781726756516385,0.15890046205654285,0.25,10.0,23.0,288.0,37.0,393.0
2,55.583126550868485,RandomForest,BestFirst(backward),none,none,0.34375,0.46808510638297873,0.7352055825408771,0.28871359943063885,0.39639639639639634,22.0,42.0,269.0,25.0,292.0
2,55.583126550868485,IBk,BestFirst(backward),none,none,0.2125,0.3617021276595745,0.5950947526852295,0.12259526695830936,0.2677165354330709,17.0,63.0,248.0,30.0,363.0
2,55.583126550868485,NaiveBayes,BestFirst(backward),none,none,0.42857142857142855,0.44680851063829785,0.7929807758089895,0.35044687856998846,0.4375,21.0,28.0,283.0,26.0,288.0
2,55.583126550868485,RandomForest,none,SMOTE,none,0.3333333333333333,0.5319148936170213,0.7602107135527126,0.2962376453885217,0.4098360655737705,25.0,50.0,261.0,22.0,270.0
2,55.583126550868485,IBk,none,SMOTE,none,0.22727272727272727,0.425531914893617,0.6126770199083259,0.15098107743771516,0.2962962962962963,20.0,68.0,243.0,27.0,338.0
2,55.583126550868485,NaiveBayes,none,SMOTE,none,0.3235294117647059,0.23404255319148937,0.7822740644455086,0.18138128827222688,0.271604938271605,11.0,23.0,288.0,36.0,383.0
2,55.583126550868485,RandomForest,none,none,SensitiveThreshold,0.2192513368983957,0.8723404255319149,0.7582951358007799,0.1779315345801734,0.3504273504273504,41.0,146.0,165.0,6.0,206.0
2,55.583126550868485,IBk,none,none,SensitiveThreshold,0.25333333333333335,0.40425531914893614,0.6216733939932955,0.17894391961994213,0.3114754098360656,19.0,56.0,255.0,28.0,336.0
2,55.583126550868485,NaiveBayes,none,none,SensitiveThreshold,0.34285714285714286,0.2553191489361702,0.781726756516385,0.20340673674518547,0.2926829268292683,12.0,23.0,288.0,35.0,373.0
2,55.583126550868485,RandomForest,BestFirst(backward),SMOTE,none,0.3026315789473684,0.48936170212765956,0.7089348019429431,0.25275142314990506,0.37398373983739835,23.0,53.0,258.0,24.0,293.0
2,55.583126550868485,IBk,BestFirst(backward),SMOTE,none,0.16666666666666666,0.2978723404255319,0.5520284600123144,0.054561304548484534,0.21374045801526717,14.0,70.0,241.0,33.0,400.0
2,55.583126550868485,NaiveBayes,BestFirst(backward),SMOTE,none,0.4230769230769231,0.46808510638297873,0.8022508038585209,0.3555671925116185,0.4444444444444444,22.0,30.0,281.0,25.0,280.0
2,55.583126550868485,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.19072164948453607,0.7872340425531915,0.7478620784018608,0.12133682137503302,0.30705394190871366,37.0,157.0,154.0,10.0,257.0
