name,firstCommit,#Commits
src/java/org/apache/avro/io/ParsingDecoder.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,2
src/java/org/apache/avro/io/ParsingEncoder.java,commit 604f27bc286f17bb8b43c25c1aa3302882c80395 1252083576 -----sp,3
src/java/org/apache/avro/io/ResolvingDecoder.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,2
src/java/org/apache/avro/io/ValidatingDecoder.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,2
src/java/org/apache/avro/io/ValidatingEncoder.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,2
src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,2
src/java/org/apache/avro/io/parsing/Parser.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,2
src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,commit e1d53e342f55f7ee51b8f4b04fc03aaa287712dd 1250624626 -----sp,3
src/java/org/apache/avro/io/parsing/SkipParser.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,2
src/java/org/apache/avro/io/parsing/Symbol.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,2
src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,commit e1d53e342f55f7ee51b8f4b04fc03aaa287712dd 1250624626 -----sp,3
src/java/org/apache/avro/ipc/AvroRemoteException.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/ipc/ByteBufferInputStream.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/ipc/RPCContext.java,commit 62806bad9162f22afe69f01e97ea96321d83710a 1249080988 -----sp,1
src/java/org/apache/avro/ipc/RPCPlugin.java,commit 62806bad9162f22afe69f01e97ea96321d83710a 1249080988 -----sp,1
src/java/org/apache/avro/ipc/Requestor.java,commit 62806bad9162f22afe69f01e97ea96321d83710a 1249080988 -----sp,2
src/java/org/apache/avro/ipc/Responder.java,commit 62806bad9162f22afe69f01e97ea96321d83710a 1249080988 -----sp,2
src/java/org/apache/avro/ipc/SocketServer.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
