key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
AVRO-375,2010-01-25,2010-01-26,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-382,2010-01-27,2010-01-27,1.2.0,1.3.0,1.3.0,[1.2.0],0
AVRO-385,2010-01-28,2010-01-29,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-387,2010-01-29,2010-02-02,1.2.0,1.3.0,1.3.0,[1.2.0],0
AVRO-390,2010-01-31,2010-02-02,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-389,2010-01-31,2010-02-02,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-401,2010-02-04,2010-02-04,1.2.0,1.3.0,1.3.0,[1.2.0],0
AVRO-398,2010-02-04,2010-02-05,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-407,2010-02-05,2010-02-08,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-408,2010-02-06,2010-02-06,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-413,2010-02-09,2010-02-09,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-411,2010-02-09,2010-02-09,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-416,2010-02-15,2010-02-16,1.2.0,1.3.0,1.3.0,[1.2.0],0
AVRO-417,2010-02-16,2010-02-19,1.0.0,1.3.0,1.3.0,[1.0.0, 1.1.0, 1.2.0, 1.3.0, 1.1.0, 1.2.0],0
AVRO-418,2010-02-17,2010-03-15,1.2.0,1.3.0,1.3.1,[1.2.0, 1.3.0],0
AVRO-422,2010-02-19,2010-02-19,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-421,2010-02-19,2010-02-19,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-437,2010-03-02,2010-03-03,1.3.0,1.3.1,1.3.1,[1.3.0],0
AVRO-440,2010-03-02,2010-03-05,1.3.0,1.3.1,1.3.1,[1.3.0],0
AVRO-441,2010-03-02,2012-01-24,1.3.0,1.3.1,1.6.2,[1.3.0, 1.3.1, 1.3.2, 1.3.3, 1.4.0, 1.4.1, 1.5.0, 1.5.1, 1.5.2, 1.5.3, 1.5.4, 1.6.0, 1.6.1],0
AVRO-448,2010-03-03,2010-03-04,1.3.0,1.3.1,1.3.1,[1.3.0],0
AVRO-447,2010-03-03,2010-06-10,1.3.0,1.3.1,1.4.0,[1.3.0, 1.3.1, 1.3.2, 1.3.3],0
AVRO-461,2010-03-14,2010-04-03,1.3.0,1.3.1,1.3.3,[1.3.0, 1.3.1, 1.3.2],0
AVRO-465,2010-03-15,2010-04-04,1.3.0,1.3.1,1.3.3,[1.3.0, 1.3.1, 1.3.2],0
AVRO-480,2010-03-17,2010-03-17,1.3.0,1.3.2,1.3.2,[1.3.0, 1.3.1],0
AVRO-479,2010-03-17,2010-03-17,1.3.0,1.3.2,1.3.2,[1.3.0, 1.3.1],0
AVRO-487,2010-03-22,2010-03-24,1.3.1,1.3.2,1.3.2,[1.3.1],0
AVRO-489,2010-03-24,2010-04-03,1.3.1,1.3.2,1.3.3,[1.3.1, 1.3.2],0
AVRO-496,2010-04-02,2010-04-05,1.3.1,1.3.3,1.3.3,[1.3.1, 1.3.2],0
AVRO-499,2010-04-02,2010-05-13,1.3.2,1.3.3,1.3.3,[1.3.2],0
AVRO-500,2010-04-03,2010-04-06,1.3.2,1.3.3,1.3.3,[1.3.2],0
AVRO-501,2010-04-03,2010-08-25,1.3.2,1.3.3,1.4.0,[1.3.2, 1.3.3],0
AVRO-502,2010-04-04,2010-04-04,1.3.2,1.3.3,1.3.3,[1.3.2],0
AVRO-510,2010-04-06,2010-08-25,1.3.2,1.3.3,1.4.0,[1.3.2, 1.3.3],0
AVRO-515,2010-04-11,2010-04-11,1.3.1,1.3.3,1.3.3,[1.3.1, 1.3.2],0
AVRO-516,2010-04-11,2010-04-12,1.3.1,1.3.3,1.3.3,[1.3.1, 1.3.2],0
AVRO-518,2010-04-15,2010-04-17,1.3.1,1.3.3,1.3.3,[1.3.1, 1.3.2],0
AVRO-517,2010-04-15,2010-04-19,1.3.2,1.3.3,1.3.3,[1.3.2],0
AVRO-524,2010-04-24,2010-04-27,1.3.1,1.3.3,1.3.3,[1.3.1, 1.3.2],0
AVRO-527,2010-04-25,2010-05-07,1.3.1,1.3.3,1.3.3,[1.3.1, 1.3.2],0
AVRO-537,2010-05-05,2010-10-08,1.3.2,1.3.3,1.4.1,[1.3.2, 1.3.3, 1.4.0],0
AVRO-541,2010-05-13,2010-08-24,1.3.2,1.3.3,1.4.0,[1.3.2, 1.3.3],0
AVRO-548,2010-05-22,2010-05-24,1.3.1,1.3.3,1.3.3,[1.3.1, 1.3.2],0
AVRO-554,2010-05-27,2010-06-01,1.3.0,1.3.3,1.3.3,[1.3.0, 1.4.0, 1.3.1, 1.3.2],0
AVRO-562,2010-06-04,2010-06-04,1.3.2,1.3.3,1.3.3,[1.3.2],0
AVRO-571,2010-06-09,2010-06-09,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-573,2010-06-11,2010-07-28,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-583,2010-06-22,2010-08-03,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-589,2010-07-01,2010-07-05,1.2.0,1.4.0,1.4.0,[1.2.0, 1.3.0, 1.3.1, 1.3.2, 1.3.3, 1.3.0, 1.3.1, 1.3.2, 1.3.3],0
AVRO-590,2010-07-01,2010-08-23,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-596,2010-07-14,2010-07-20,1.3.3,1.4.0,1.4.0,[1.3.3],0
AVRO-598,2010-07-15,2010-08-25,1.3.3,1.4.0,1.4.0,[1.3.3, 1.4.0],0
AVRO-604,2010-08-03,2010-08-03,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-607,2010-08-05,2016-09-04,1.3.3,1.4.0,1.8.2,[1.3.3, 1.8.1, 1.4.0, 1.4.1, 1.5.0, 1.5.1, 1.5.2, 1.5.3, 1.5.4, 1.6.0, 1.6.1, 1.6.2, 1.6.3, 1.7.0, 1.7.1, 1.7.2, 1.7.3, 1.7.4, 1.7.5, 1.7.7, 1.8.0, 1.8.1],0
AVRO-609,2010-08-06,2010-08-10,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-612,2010-08-13,2010-08-18,1.3.3,1.4.0,1.4.0,[1.3.3],0
AVRO-620,2010-08-20,2010-08-24,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-622,2010-08-24,2010-08-24,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-631,2010-08-25,2010-08-26,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-633,2010-08-26,2010-08-26,1.3.3,1.4.0,1.4.0,[1.3.3],0
AVRO-632,2010-08-26,2010-08-26,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
